Postcode,Positional_quality_indicator,Eastings,Northings,Country_code,NHS_regional_HA_code,NHS_HA_code,Admin_county_code,Admin_district_code,Admin_ward_code,Latitude,Longitude
OX1 1AA,10,450673,205980,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750231,-1.2673668
OX1 1AB,10,451261,206074,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751023,-1.2588361
OX1 1AD,10,450271,206882,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.758421,-1.2730587
OX1 1AE,10,450295,206912,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.758545,-1.272651
OX1 1AF,10,450267,206920,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.758772,-1.2730965
OX1 1AG,10,450310,206718,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.756935,-1.272532
OX1 1AN,10,451195,205876,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749303,-1.2598782
OX1 1AW,10,451270,205825,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748792,-1.2587133
OX1 1AY,10,451042,206082,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751358,-1.2620611
OX1 1AZ,10,450937,206174,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751924,-1.2634715
OX1 1BD,10,451344,206126,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751483,-1.2576262
OX1 1BN,10,451467,205723,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.747838,-1.2557015
OX1 1BP,10,451325,206023,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750558,-1.2579166
OX1 1BS,10,451388,206091,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.751164,-1.2569941
OX1 1BT,10,451368,206046,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750761,-1.2572904
OX1 1BU,10,451353,206094,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751239,-1.2575143
OX1 1BX,10,451393,206145,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.751649,-1.2569137
OX1 1BY,10,450927,206214,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752312,-1.2636535
OX1 1BZ,10,450487,206094,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751273,-1.2700444
OX1 1DA,10,451378,206032,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750635,-1.2571476
OX1 1DB,10,451473,205805,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.748585,-1.2558051
OX1 1DE,10,451363,206163,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.751814,-1.2573456
OX1 1DF,10,451349,206112,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751288,-1.258035
OX1 1DG,10,451472,205679,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.747452,-1.2558382
OX1 1DJ,10,451141,206119,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751438,-1.2605677
OX1 1DN,10,451053,205959,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750008,-1.2618658
OX1 1DP,10,451420,205951,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.749902,-1.2565512
OX1 1DQ,10,451444,205683,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.747491,-1.2562431
OX1 1DS,10,451349,206112,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751288,-1.258035
OX1 1DU,10,451080,206051,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750833,-1.2614612
OX1 1DW,10,451255,205993,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.75008,-1.2575333
OX1 1DZ,10,451382,206110,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.751335,-1.2570782
OX1 1EA,10,451338,206142,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751754,-1.2578101
OX1 1EB,10,450920,205892,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749418,-1.263802
OX1 1EF,10,451349,206112,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.74775,-1.2560651
OX1 1EJ,10,451308,206152,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751514,-1.2582921
OX1 1EP,10,451236,206128,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751341,-1.2594393
OX1 1EQ,10,451333,205656,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747258,-1.2578548
OX1 1ER,10,451234,206166,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.751852,-1.2592137
OX1 1ES,10,451323,205668,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747367,-1.2579979
OX1 1ET,10,451288,206171,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.751892,-1.2584307
OX1 1EW,10,451308,205679,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747467,-1.2582135
OX1 1EX,10,451300,205696,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747621,-1.2583269
OX1 1GA,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GB,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GD,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GE,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GF,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GH,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GJ,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1GL,10,450267,207050,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751806,-1.2604892
OX1 1HB,10,451331,206156,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751754,-1.2578101
OX1 1HD,10,450898,206097,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751289,-1.2640613
OX1 1HF,10,450910,206054,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750821,-1.263982
OX1 1HG,10,450847,206048,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750828,-1.2650104
OX1 1HH,10,450794,206281,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752926,-1.2655703
OX1 1HP,10,450601,206319,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.753285,-1.2683604
